Cidade,Estado,Rota,Latitude,Longitude,,
Itaguajé,PR,,-22.618.282,-51.967.351,,
Itaipulândia,PR,,-251.417.007,-542.980.691,,
Itambaracá,PR,,-230.176.678,-50.406.887,,
Itambé,PR,,-23.659.424,-519.903.555,,
Itaperuçu,PR,,-252.212.291,-493.458.394,,
Itaúna do Sul,PR,,-227.302.304,-528.854.393,,
Ivaiporã,PR,,-242.433.517,-516.719.268,,
Ivaté,PR,,-234.084.656,-533.698.352,,
Ivatuba,PR,,-23.618.722,-522.174.491,,
Jaboti,PR,,-237.419.073,-500.752.639,,
Jacarezinho,PR,,-231.590.428,-499.739.664,,
Jaguapitã,PR,,-231.102.516,-515.327.741,,
Jaguariaíva,PR,,-242.589.699,-497.201.518,,
Jandaia do Sul,PR,,-236.003.907,-51.645.674,,
Janiópolis,PR,,-24.140.124,-5.277.836,,
Japira,PR,,-238.119.773,-501.397.133,,
Japurá,PR,,-23.469.273,-5.255.572,,
Jardim Alegre,PR,,-241.795.192,-516.927.177,,
Jardim Olinda,PR,,-225.520.625,-52.036.373,,
Jataizinho,PR,,-23.257.815,-50.977.748,,
Jesuítas,PR,,-243.807.263,-533.855.699,,
Joaquim Távora,PR,,-234.999.724,-499.232.545,,
Juranda,PR,,-24.420.866,-52.841.344,,
Jussara,PR,,-23.621.931,-5.246.931,,
Kaloré,PR,,-238.242.643,-516.683.666,,
Laranjal,PR,,-248.909.736,-524.726.747,,
Leópolis,PR,,-230.789.091,-507.501.808,,
Lidianópolis,PR,,-241.073.464,-516.525.676,,
Loanda,PR,,-229.320.944,-531.352.452,,
Lobato,PR,,-230.077.055,-519.524.309,,
Londrina,PR,,-233.112.878,-511.595.023,,
Luiziana,PR,,-242.838.237,-522.767.531,,
Lunardelli,PR,,-240.793.542,-517.421.822,,
Lupionópolis,PR,,-227.558.205,-516.575.301,,
Mamborê,PR,,-243.084.433,-525.298.446,,
Mandaguaçu,PR,,-233.485.076,-520.966.215,,
Mandaguari,PR,,-235.224.849,-516.787.511,,
Manoel Ribas,PR,,-245.177.239,-516.685.729,,
Marechal Cândido Rondon,PR,,-245.582.532,-540.587.821,,
Maria Helena,PR,,-236.139.395,-53.206.135,,
Marialva,PR,,-234.820.987,-51.795.788,,
Marilândia do Sul,PR,,-237.462.425,-513.021.452,,
Marilena,PR,,-227.358.333,-53.04,,
Mariluz,PR,,-240.031.216,-53.148.113,,
Maripá,PR,,-24.419.978,-53.828.641,,
Marquinho,PR,,-251.133.759,-522.581.854,,
Marumbi,PR,,-237.070.343,-516.408.276,,
Mato Rico,PR,,-247.045.571,-521.493.001,,
Mauá da Serra,PR,,-239.045.517,-512.261.166,,
Mercedes,PR,,-244.504.957,-541.647.255,,
Mirador,PR,,-23.257.015,-527.756.432,,
Miraselva,PR,,-229.675.823,-514.847.793,,
Missal,PR,,-250.913.359,-542.476.738,,
Moreira Sales,PR,,-240.509.413,-530.101.722,,
Munhoz de Melo,PR,,-228.265.515,-515.943.884,,
Nossa Senhora das Graças,PR,,-229.138.823,-517.962.681,,
Nova Aliança do Ivaí,PR,,-23.176.271,-52.603.244,,
Nova América da Colina,PR,,-233.315.888,-507.182.735,,
Nova Aurora,PR,,-245.282.336,-532.576.703,,
Nova Esperança,PR,,-231.818.437,-521.999.852,,
Nova Fátima,PR,,-23.433.056,-505.618.055,,
Nova Laranjeiras,PR,,-25.305.376,-52.544.682,,
Nova Londrina,PR,,-227.633.621,-529.875.908,,
Nova Olímpia,PR,,-234.699.403,-53.090.112,,
Nova Santa Bárbara,PR,,-235.860.638,-507.638.011,,
Nova Santa Rosa,PR,,-24.468.132,-539.547.649,,
Nova Tebas,PR,,-24.437.958,-51.945.357,,
Novo Itacolomi,PR,,-237.635.774,-515.076.578,,
Ortigueira,PR,,-242.088.891,-50.925.043,,
Ourizona,PR,,-234.047.001,-521.954.085,,
Ouro Verde do Oeste,PR,,-247.741.302,-53.906.938,,
Paiçandu,PR,,-234.575.884,-52.048.988,,
Palmital,PR,,-248.842.985,-522.113.941,,
Palotina,PR,,-242.839.929,-538.405.463,,
Paraíso do Norte,PR,,-232.841.185,-526.024.125,,
Paranacity,PR,,-229.304.971,-521.523.164,,
Paranapoema,PR,,-226.561.084,-520.865.163,,
Paranavaí,PR,,-2.308.165,-52.461.724,,
Pato Bragado,PR,,-246.270.545,-542.264.587,,
Peabirú,PR,,-239.142.123,-523.455.598,,
Perobal,PR,,-23.894.861,-53.409.838,,
Pérola,PR,,-238.031.666,-536.824.972,,
Pinhalão,PR,,-237.889.966,-500.577.318,,
Pinhão,PR,,-256.960.895,-516.566.366,,
Piraí do Sul,PR,,-245.346.602,-499.399.216,,
Pitanga,PR,,-24.759.586,-517.637.582,,
Pitangueiras,PR,,-232.313.428,-51.587.301,,
Planaltina do Paraná,PR,,-230.228.724,-529.160.307,,
Ponta Grossa,PR,,-250.891.685,-501.601.812,,
Porecatu,PR,,-22.753.724,-5.137.949,,
Porto Rico,PR,,-22.774.742,-53.267.731,,
Prado Ferreira,PR,,-23.039.784,-514.431.235,,
Presidente Castelo Branco,PR,,-232.790.844,-521.528.771,,
Primeiro de Maio,PR,,-22.851.714,-51.029.251,,
Prudentópolis,PR,,-25.203.358,-509.895.774,,
Quarto Centenário,PR,,-2.427.904,-53.075.881,,
Quatiguá,PR,,-235.669.626,-499.160.315,,
Quatro Barras,PR,,-253.708.987,-490.745.672,,
Quatro Pontes,PR,,-245.741.062,-539.780.237,,
Querência do Norte,PR,,-23.083.758,-53.483.022,,
Quinta do Sol,PR,,-238.494.169,-521.334.452,,
Ramilândia,PR,,-251.190.203,-540.301.175,,
Rancho Alegre,PR,,-23.070.922,-509.142.676,,
Rancho Alegre D'Oeste,PR,,-243.065.214,-529.551.791,,
Reserva,PR,,-246.545.336,-508.484.432,,
Reserva do Iguaçu,PR,,-258.365.103,-52.028.256,,
Ribeirão Claro,PR,,-231.960.492,-497.568.326,,
Ribeirão do Pinhal,PR,,-234.063.092,-503.581.945,,
Rio Bom,PR,,-237.618.456,-514.127.871,,
Rio Branco do Ivaí,PR,,-243.193.396,-513.139.672,,
Rio Branco do Sul,PR,,-251.885.374,-493.119.082,,
Rolândia,PR,,-233.119.901,-513.674.145,,
Roncador,PR,,-245.960.555,-522.744.834,,
Rondon,PR,,-234.171.839,-527.722.221,,
Rosário do Ivaí,PR,,-242.545.374,-512.505.025,,
Sabáudia,PR,,-23.319.019,-515.544.109,,
Salto do Itararé,PR,,-236.038.767,-49.626.581,,
Santa Amélia,PR,,-232.661.996,-504.278.622,,
Santa Cecília do Pavão,PR,,-235.176.577,-507.837.199,,
Santa Cruz de Monte Castelo,PR,,-229.582.028,-53.294.859,,
Santa Fé,PR,,-23.039.993,-51.808.014,,
Santa Helena,PR,,-248.591.735,-543.328.813,,
Santa Inês,PR,,-22.640.225,-519.031.333,,
Santa Isabel do Ivaí,PR,,-230.013.818,-531.940.876,,
Santa Maria do Oeste,PR,,-249.392.355,-518.712.242,,
Santa Mariana,PR,,-231.499.367,-505.199.587,,
Santa Mônica,PR,,-231.085.921,-531.103.971,,
Santa Tereza do Oeste,PR,,-250.511.956,-536.161.834,,
Santana do Itararé,PR,,-237.566.225,-496.292.826,,
Santo Antônio da Platina,PR,,-232.957.157,-500.778.957,,
Santo Antônio do Caiuá,PR,,-227.365.132,-523.446.998,,
Santo Antônio do Paraíso,PR,,-234.949.247,-506.468.656,,
Santo Inácio,PR,,-226.973.239,-51.792.679,,
São Carlos do Ivaí,PR,,-23.315.828,-52.476.143,,
São Jerônimo da Serra,PR,,-237.221.275,-507.389.164,,
São João do Caiuá,PR,,-228.544.849,-523.371.114,,
São João do Ivaí,PR,,-239.914.063,-518.232.148,,
São Jorge do Ivaí,PR,,-234.327.325,-522.924.553,,
São Jorge do Patrocínio,PR,,-237.612.908,-538.806.252,,
São José da Boa Vista,PR,,-239.171.872,-496.508.016,,
São José das Palmeiras,PR,,-248.350.864,-540.621.488,,
São Manoel do Paraná,PR,,-23.394.137,-52.645.376,,
São Miguel do Iguaçu,PR,,-25.349.171,-54.240.498,,
São Pedro do Iguaçu,PR,,-249.341.766,-538.579.529,,
São Pedro do Ivaí,PR,,-238.660.384,-518.563.711,,
São Pedro do Paraná,PR,,-228.240.967,-53.222.755,,
São Sebastião da Amoreira,PR,,-234.647.501,-507.605.173,,
São Tomé,PR,,-23.534.946,-52.590.125,,
Sapopema,PR,,-239.105.099,-505.791.315,,
Sarandi,PR,,-23.444.117,-51.876.016,,
Sengés,PR,,-241.141.771,-494.644.197,,
Sertaneja,PR,,-230.367.627,-50.816.802,,
Sertanópolis,PR,,-230.600.434,-510.373.544,,
Siqueira Campos,PR,,-23.687.481,-49.830.416,,
Tamarana,PR,,-237.223.793,-510.936.013,,
Tamboara,PR,,-231.995.071,-525.000.131,,
Tapejara,PR,,-237.334.411,-528.701.739,,
Tapira,PR,,-23.323.146,-530.712.033,,
Teixeira Soares,PR,,-253.719.287,-504.586.285,,
Telêmaco Borba,PR,,-243.282.939,-506.318.021,,
Terra Boa,PR,,-23.768.329,-52.447.002,,
Terra Rica,PR,,-227.264.874,-526.202.541,,
Terra Roxa,PR,,-241.670.468,-54.097.432,,
Tibagi,PR,,-245.151.667,-504.101.487,,
Toledo,PR,,-247.222.438,-537.402.476,,
Tomazina,PR,,-237.777.942,-499.546.482,,
Tunas do Paraná,PR,,-249.761.456,-490.854.528,,
Tuneiras do Oeste,PR,,-238.672.329,-528.749.376,,
Tupãssi,PR,,-245.857.992,-535.129.537,,
Turvoxxxx,PR,,-25.043.933,-515.392.172,,
Ubiratã,PR,,-24.542.725,-529.899.678,,
Umuarama,PR,,-237.621.152,-533.116.192,,
Uniflor,PR,,-230.853.871,-521.584.403,,
Uraí,PR,,-23.199.997,-50.793.873,,
Ventania,PR,,-242.470.771,-50.245.452,,
Vera Cruz do Oeste,PR,,-25.058.614,-538.785.648,,
Virmond,PR,,-253.816.653,-522.034.599,,
Wenceslau Braz,PR,,-238.748.841,-498.035.872,,
Xambrê,PR,,-237.361.723,-534.881.707,,
